D955C3F7-2721-4902-A398-000E6FA17F2F,Employer 0803,Healthcare,Provider,Enterprise,Dallas,TX,USA,https://www.example803.com,https://www.linkedin.com/company/example-803,0,1,Academic,Gold,Active,2023-08-13,Contact 803,Recruiter,contact803@example.com,+13145550803,2025-10-24 06:24:50.297
9976BC42-D3EB-4220-AC95-00383751CAB6,Employer 0551,Retail,E-commerce,Enterprise,San Jose,CA,USA,https://www.example551.com,https://www.linkedin.com/company/example-551,0,0,Academic,Gold,Inactive,2024-04-21,Contact 551,Recruiter,contact551@example.com,+13145550551,2025-10-24 06:24:50.297
9C715999-88FA-4281-8AF4-00714781C05E,Employer 0491,Healthcare,Provider,Enterprise,Dallas,TX,USA,https://www.example491.com,https://www.linkedin.com/company/example-491,0,0,Hiring,Gold,Inactive,2024-06-20,Contact 491,Recruiter,contact491@example.com,+13145550491,2025-10-24 06:24:50.297
EE2324AF-09FC-4450-8B1D-00A7106AFEFB,Employer 0331,Healthcare,Provider,Enterprise,Dallas,TX,USA,https://www.example331.com,https://www.linkedin.com/company/example-331,0,0,Mentorship,Silver,Inactive,2024-11-27,Contact 331,Recruiter,contact331@example.com,+13145550331,2025-10-24 06:24:50.297
71BE2D78-5519-4ED1-A6E9-00BE4AA58C49,Employer 0546,Consulting,IT Services,Large,Chicago,IL,USA,https://www.example546.com,https://www.linkedin.com/company/example-546,0,0,Academic,Bronze,Inactive,2024-04-26,Contact 546,Recruiter,contact546@example.com,+13145550546,2025-10-24 06:24:50.297
9D7DFE75-D0FC-4758-A65C-00DC20AC2150,Employer 0253,Education,University,Medium,Seattle,WA,USA,https://www.example253.com,https://www.linkedin.com/company/example-253,0,1,Hiring,Silver,Active,2025-02-13,Contact 253,Recruiter,contact253@example.com,+13145550253,2025-10-24 06:24:50.297
7AA4A7BE-ECA5-4B72-8A39-00F301363352,Employer 0319,Retail,E-commerce,Enterprise,San Jose,CA,USA,https://www.example319.com,https://www.linkedin.com/company/example-319,0,0,Sponsorship,Silver,Active,2024-12-09,Contact 319,Recruiter,contact319@example.com,+13145550319,2025-10-24 06:24:50.297
AD6CB396-F114-45F2-9990-01A2882B69AA,Employer 0264,Government,Public Sector,Small,Hyderabad,NULL,India,https://www.example264.com,https://www.linkedin.com/company/example-264,0,0,Mentorship,Bronze,Active,2025-02-02,Contact 264,Recruiter,contact264@example.com,+13145550264,2025-10-24 06:24:50.297
4292B136-2BC2-4766-9E9D-01DBACF11869,Employer 0002,Consulting,IT Services,Large,Chicago,IL,USA,https://www.example2.com,https://www.linkedin.com/company/example-2,0,0,Academic,Gold,Active,2025-10-22,Contact 2,Recruiter,contact2@example.com,+13145550002,2025-10-24 06:24:50.297
244EEF34-9923-4AC0-9C30-01F285AE84C9,Employer 0096,Government,Public Sector,Small,Hyderabad,NULL,India,https://www.example96.com,https://www.linkedin.com/company/example-96,0,0,Academic,Bronze,Inactive,2025-07-20,Contact 96,Recruiter,contact96@example.com,+13145550096,2025-10-24 06:24:50.297
