attendance_id,event_id,student_id,registration_status,registration_channel,registered_at,attended,attended_at,check_in_method,feedback_score,feedback_comment,certificate_issued,no_show_reason,reminder_sent,reminder_sent_at,created_by_user,created_at,updated_by_user,updated_at,privacy_level
176e7c10-5b29-4179-98dd-18de2aee758d,de19592f-c9c2-424c-9232-7c17346efcba,a98c909a-2d3b-485c-ae12-4906fe4c90bd,Registered,Onsite,2025-11-27 18:00:00,1,2025-11-28 18:01:00,QR,4.19,,0,,1,2025-11-26 18:00:00,seed_bot,2025-10-25 04:47:46,seed_bot,,Internal
af9bb7a2-46de-4768-a697-09563045fde6,de19592f-c9c2-424c-9232-7c17346efcba,0b9bd122-c4cb-461c-92b4-798115aecddf,Registered,Portal,2025-11-27 18:00:00,1,2025-11-28 18:02:00,QR,4.86,,0,,0,2025-11-26 18:00:00,seed_bot,2025-10-25 04:47:46,seed_bot,,Public
68cc1084-c86d-4f51-8786-0aadf4c6f9a6,de19592f-c9c2-424c-9232-7c17346efcba,8a75e08b-6f88-4edd-8949-44e7e9935435,Registered,Onsite,2025-11-27 18:00:00,1,2025-11-28 18:03:00,Import,4.95,,0,,1,2025-11-26 18:00:00,seed_bot,2025-10-25 04:47:46,seed_bot,,Restricted
33944d98-45f3-4b2f-ae0b-34ad72faee95,de19592f-c9c2-424c-9232-7c17346efcba,1a8468e6-c0f7-489a-87bc-aafbbb8548cb,Registered,Portal,2025-11-27 18:00:00,1,2025-11-28 18:04:00,Manual,4.27,,0,,0,2025-11-26 18:00:00,seed_bot,2025-10-25 04:47:46,seed_bot,,Restricted
57ad54c1-ad12-48fb-be9f-73f1c61a610b,de19592f-c9c2-424c-9232-7c17346efcba,d11f5d37-fd59-47a3-a54a-8b355bb5b9a1,Registered,Email,2025-11-27 18:00:00,1,2025-11-28 18:05:00,QR,,,0,,1,2025-11-26 18:00:00,seed_bot,2025-10-25 04:47:46,seed_bot,,Internal
fe9d5de7-436c-45ea-a3a5-3417cfa103df,de19592f-c9c2-424c-9232-7c17346efcba,66642095-f50d-4031-b283-7fa5a9ea1650,Registered,Onsite,2025-11-27 18:00:00,1,2025-11-28 18:06:00,Import,3.64,,0,,1,2025-11-26 18:00:00,seed_bot,2025-10-25 04:47:46,seed_bot,,Restricted
e5d3a391-22ac-4ef2-8105-94ec205f9fdf,de19592f-c9c2-424c-9232-7c17346efcba,ff9fdb16-79dd-4219-9ede-ed3cbbcf5b2b,Registered,Portal,2025-11-27 18:00:00,1,2025-11-28 18:07:00,QR,,,0,,0,2025-11-26 18:00:00,seed_bot,2025-10-25 04:47:46,seed_bot,,Restricted
41aefe5d-9293-4aea-ac89-ce669912c83b,de19592f-c9c2-424c-9232-7c17346efcba,1118f5ad-e250-45d9-a429-14c871ac7c16,Registered,Onsite,2025-11-27 18:00:00,1,2025-11-28 18:08:00,Import,,,0,,0,2025-11-26 18:00:00,seed_bot,2025-10-25 04:47:46,seed_bot,,Restricted
4e9e1691-80ef-469b-95e1-dd948cf3b8c7,de19592f-c9c2-424c-9232-7c17346efcba,70b3d71c-80c1-4820-bfdd-e69e71546fce,Registered,Email,2025-11-27 18:00:00,1,2025-11-28 18:09:00,Manual,4.77,,0,,0,2025-11-26 18:00:00,seed_bot,2025-10-25 04:47:46,seed_bot,,Restricted
bf9e6afd-28ea-40ad-b1e2-595171c88937,de19592f-c9c2-424c-9232-7c17346efcba,0b03f353-8181-418d-b380-6e10c25782cf,Registered,Onsite,2025-11-27 18:00:00,1,2025-11-28 18:10:00,Import,,,0,,0,2025-11-26 18:00:00,seed_bot,2025-10-25 04:47:46,seed_bot,,Internal
