7E97E461-DA0C-4258-9916-000036BDED92,Guest Lecture 0150 • Resume & Interview Mastery,Guest Lecture,Resume & Interview Mastery,Join us for a guest lecture from an industry leader.,2025-09-24 10:00:00.0000000,2025-09-24 13:00:00.0000000,America/Los_Angeles,Hybrid,Alumni Center,Boston,MA,USA,Data Science Institute,dsi@slu.edu,203,1,203,140,NULL
4D0A254A-253F-42B9-B010-005C3EDDE197,Meetup 0474 • Cloud & DevOps Pathways,Meetup,Cloud & DevOps Pathways,Join us for a networking meetup with alumni and employers.,2025-06-08 10:00:00.0000000,2025-06-08 13:00:00.0000000,America/Los_Angeles,Hybrid,Chaifetz Arena,St. Louis,MO,USA,Data Science Institute,dsi@slu.edu,105,1,105,105,3.55
AA3ACFC8-9578-483D-9FDD-00B51277663B,Webinar 0347 • Cybersecurity Trends 2025,Webinar,Cybersecurity Trends 2025,Join us for a live webinar led by industry experts.,2025-11-04 18:00:00.0000000,2025-11-04 20:00:00.0000000,America/Chicago,Virtual,Career Services Hall,Chicago,IL,USA,Cybersecurity Center,cybercenter@slu.edu,533,1,256,197,NULL
CB2B05A6-0AC0-4A39-A5F2-00E28525C250,Career Fair 0731 • Cybersecurity Trends 2025,Career Fair,Cybersecurity Trends 2025,Join us for a career fair featuring top employers.,2025-09-17 18:00:00.0000000,2025-09-17 20:00:00.0000000,America/Chicago,Virtual,Career Services Hall,Chicago,IL,USA,Cybersecurity Center,cybercenter@slu.edu,621,1,314,275,3.85
2411AF59-FC83-48E9-B32E-01229DB5455D,Workshop 0518 • Resume & Interview Mastery,Workshop,Resume & Interview Mastery,Join us for a hands-on workshop with practical exercises.,2026-01-06 18:00:00.0000000,2026-01-06 21:00:00.0000000,America/Los_Angeles,Virtual,Alumni Center,Boston,MA,USA,Alumni Office,alumni@slu.edu,115,1,58,58,3.63
EBD64EC3-BC28-4F2A-9A57-012F0FC6125F,Career Fair 0526 • Resume & Interview Mastery,Career Fair,Resume & Interview Mastery,Join us for a career fair featuring top employers.,2026-04-20 14:00:00.0000000,2026-04-20 17:00:00.0000000,America/Los_Angeles,In-person,Alumni Center,Boston,MA,USA,Chaifetz School of Business,chaifetz-events@slu.edu,1169,1,362,291,4.74
12B5868B-0506-482F-B1C0-015B979A7FCB,Workshop 0293 • Consulting Case Prep,Workshop,Consulting Case Prep,Join us for a hands-on workshop with practical exercises.,2025-11-22 18:00:00.0000000,2025-11-22 22:00:00.0000000,America/New_York,Virtual,Data Science Hub,Seattle,WA,USA,Cybersecurity Center,cybercenter@slu.edu,99,1,72,72,4.27
C74220E6-38D7-4B37-A8DB-015BF2015ED5,Guest Lecture 0170 • Cloud & DevOps Pathways,Guest Lecture,Cloud & DevOps Pathways,Join us for a guest lecture from an industry leader.,2025-06-16 18:00:00.0000000,2025-06-16 21:00:00.0000000,America/Los_Angeles,Virtual,Chaifetz Arena,St. Louis,MO,USA,Alumni Office,alumni@slu.edu,175,1,175,172,4.33
F553E5ED-755C-4A77-8809-01E613116E0F,Guest Lecture 0070 • Resume & Interview Mastery,Guest Lecture,Resume & Interview Mastery,Join us for a guest lecture from an industry leader.,2025-11-03 14:00:00.0000000,2025-11-03 17:00:00.0000000,America/Los_Angeles,In-person,Alumni Center,Boston,MA,USA,Chaifetz School of Business,chaifetz-events@slu.edu,117,1,117,84,4.69
A6F00863-E315-4BDA-82C6-01EFAD16A4C6,Webinar 0287 • Networking Night,Webinar,Networking Night,Join us for a live webinar led by industry experts.,2025-09-05 18:00:00.0000000,2025-09-05 20:00:00.0000000,America/Chicago,Virtual,Virtual Stage,Online,NULL,USA,Cybersecurity Center,cybercenter@slu.edu,501,1,274,245,3.56
